Draw,Date,win1,win2,win3,win4,win5,win6,addno,fromlast,same_as_day,odd,even, 1-10, 11-20, 21-30, 31-40, 41-50,win1_no,win1_price,win2_no,win2_price,win3_no,win3_price,win4_no,win4_price,win5_no,win5_price,win6_no,win6_price,win7_no,win7_price
3318,13/11/17,3,19,21,35,37,44,26,44,,5,1,1,1,1,2,1,0,0,0,0,116,1918,242,502,5836,50,7724,25,109912,10
3317,9/11/17,22,31,33,41,44,47,24,,,4,2,0,0,1,2,3,0,0,1,244593,97,1734,195,471,4494,50,5707,25,79810,10
3316,6/11/17,2,8,11,15,19,32,47,32,,3,3,2,3,0,1,0,0,0,8,1105236,488,1037,769,359,22074,50,19063,25,363439,10
3315,2/11/17,7,17,18,30,32,47,39,30,,3,3,1,2,1,1,1,0,0,4,105311,158,1833,365,433,8469,50,10731,25,159668,10
3314,30/10/17,8,20,30,43,46,48,18,,30,1,5,1,1,1,0,3,0,0,1,323157,101,2200,315,385,5920,50,8795,25,114336,10
3313,26/10/17,3,10,25,32,36,37,6,,,3,3,2,0,1,3,0,0,0,2,113287,92,1694,283,301,4884,50,8261,25,85691,10
3312,23/10/17,2,9,23,35,38,48,20,2,23,3,3,2,0,1,2,1,2,4033779,11,66609,299,1685,702,392,15654,50,20311,25,290114,10
3311,19/10/17,2,4,15,20,26,28,24,,,1,5,2,2,2,0,0,0,0,1,416797,193,1485,574,273,10839,50,14944,25,181456,10
3310,16/10/17,6,11,12,34,36,49,3,6,,2,4,1,2,0,2,1,0,0,1,319162,140,1568,322,372,5938,50,10551,25,118814,10
3309,12/10/17,6,14,17,21,22,37,15,"6,14,17",,3,3,1,2,2,1,0,0,0,2,114894,99,1596,253,341,4901,50,6757,25,90667,10
3308,9/10/17,6,14,17,40,43,49,48,40,,3,3,1,2,0,1,2,1,8380725,12,65088,223,2408,779,376,14319,50,19984,25,273524,10
3307,5/10/17,9,19,23,36,40,44,20,23,,3,3,1,1,1,2,1,0,0,6,73148,173,1745,523,315,8929,50,13094,25,169225,10
3306,2/10/17,2,8,17,18,23,42,1,,2,2,4,2,2,1,0,1,0,0,7,45428,177,1236,535,223,8495,50,13010,25,151251,10
3305,28/9/17,11,12,26,27,29,33,10,26,,4,2,0,2,3,1,0,0,0,5,45286,93,1674,433,197,5561,50,10428,25,98704,10
